IDCOMMENT,IDUSER,IDPOST,TEXTOCOMENTARIO,DATE,ACTIVO
1,1,1,Ameliorated clear-thinking encoding,10/21/2020,0
2,2,2,Optimized zero tolerance orchestration,10/22/2020,1
3,3,3,Seamless maximized instruction set,10/22/2020,1
4,4,4,Synchronised bandwidth-monitored moratorium,10/21/2020,0
5,5,5,Universal tertiary data-warehouse,10/21/2020,0
6,6,6,Multi-tiered human-resource leverage,10/21/2020,0
7,7,7,Triple-buffered logistical monitoring,10/20/2020,1
8,8,8,Implemented transitional local area network,10/20/2020,0
9,9,9,Mandatory non-volatile product,10/22/2020,1
10,10,10,Multi-lateral secondary installation,10/22/2020,0
11,11,11,Sharable next generation matrix,10/20/2020,0
12,12,12,Secured didactic analyzer,10/21/2020,1
13,13,13,Networked 5th generation architecture,10/22/2020,1
14,14,14,Face to face radical concept,10/22/2020,1
15,15,15,Configurable needs-based paradigm,10/20/2020,0
16,16,16,Intuitive impactful collaboration,10/22/2020,0
17,17,17,Optimized attitude-oriented task-force,10/22/2020,1
18,18,18,Configurable neutral archive,10/20/2020,1
19,19,19,Reduced user-facing array,10/21/2020,1
20,20,20,Ameliorated transitional adapter,10/20/2020,1
21,21,21,Proactive exuding protocol,10/22/2020,1
22,22,22,Face to face executive website,10/22/2020,1
23,23,23,Distributed interactive service-desk,10/20/2020,0
24,24,24,Universal logistical synergy,10/22/2020,0
25,25,25,Quality-focused systemic ability,10/21/2020,1
26,26,26,Synchronised fresh-thinking frame,10/20/2020,0
27,27,27,Up-sized maximized hardware,10/20/2020,0
28,28,28,Realigned even-keeled groupware,10/20/2020,1
29,29,29,Progressive secondary extranet,10/20/2020,1
30,30,30,User-centric exuding archive,10/20/2020,1
31,31,31,Vision-oriented asymmetric adapter,10/22/2020,0
32,32,32,Profound eco-centric moratorium,10/22/2020,1
33,33,33,User-friendly user-facing productivity,10/22/2020,1
34,34,34,Devolved multimedia infrastructure,10/22/2020,0
35,35,35,Adaptive real-time benchmark,10/21/2020,1
36,36,36,Reduced executive project,10/21/2020,0
37,37,37,Reactive system-worthy core,10/20/2020,1
38,38,38,Automated solution-oriented infrastructure,10/22/2020,0
39,39,39,User-centric composite knowledge user,10/22/2020,0
40,40,40,Adaptive bottom-line data-warehouse,10/22/2020,0
41,41,41,Universal dedicated help-desk,10/22/2020,0
42,42,42,Distributed content-based definition,10/21/2020,0
43,43,43,Sharable analyzing utilisation,10/22/2020,1
44,44,44,Vision-oriented intermediate conglomeration,10/21/2020,0
45,45,45,Implemented 3rd generation data-warehouse,10/22/2020,1
46,46,46,Phased methodical standardization,10/21/2020,1
47,47,47,Programmable next generation help-desk,10/20/2020,0
48,48,48,Fundamental context-sensitive structure,10/22/2020,1
49,49,49,Mandatory full-range time-frame,10/22/2020,1
50,50,50,Streamlined stable productivity,10/20/2020,0
51,51,51,Diverse eco-centric software,10/20/2020,1
52,52,52,Open-architected bottom-line methodology,10/21/2020,0
53,53,53,Cross-group upward-trending definition,10/20/2020,0
54,54,54,Optimized radical knowledge base,10/21/2020,1
55,55,55,Object-based 24 hour strategy,10/21/2020,0
56,56,56,Realigned asymmetric workforce,10/22/2020,0
57,57,57,Managed exuding function,10/22/2020,1
58,58,58,Balanced coherent definition,10/20/2020,1
59,59,59,Cross-platform real-time task-force,10/21/2020,0
60,60,60,Open-source explicit architecture,10/22/2020,0
61,61,61,Horizontal client-driven extranet,10/22/2020,0
62,62,62,Open-architected 6th generation toolset,10/21/2020,0
63,63,63,Robust bi-directional challenge,10/22/2020,1
64,64,64,Centralized explicit synergy,10/20/2020,1
65,65,65,Future-proofed full-range firmware,10/20/2020,1
66,66,66,Extended national benchmark,10/22/2020,0
67,67,67,Stand-alone secondary system engine,10/20/2020,1
68,68,68,Implemented value-added protocol,10/22/2020,1
69,69,69,Multi-layered grid-enabled moderator,10/21/2020,0
70,70,70,Reduced zero defect strategy,10/21/2020,1
71,71,71,Grass-roots intangible middleware,10/22/2020,0
72,72,72,Innovative discrete toolset,10/22/2020,0
73,73,73,Robust next generation definition,10/21/2020,0
74,74,74,Sharable client-server concept,10/21/2020,1
75,75,75,Right-sized 3rd generation solution,10/21/2020,1
76,76,76,Polarised cohesive parallelism,10/21/2020,0
77,77,77,Reverse-engineered analyzing workforce,10/20/2020,1
78,78,78,Profit-focused fresh-thinking adapter,10/20/2020,1
79,79,79,Multi-channelled solution-oriented strategy,10/20/2020,0
80,80,80,Digitized interactive conglomeration,10/20/2020,1
81,81,81,Team-oriented eco-centric concept,10/20/2020,1
82,82,82,Synchronised demand-driven strategy,10/21/2020,0
83,83,83,Progressive systemic challenge,10/21/2020,0
84,84,84,Phased tertiary forecast,10/20/2020,1
85,85,85,Exclusive national array,10/22/2020,1
86,86,86,Re-contextualized reciprocal conglomeration,10/21/2020,0
87,87,87,Programmable 24/7 analyzer,10/21/2020,1
88,88,88,Implemented systematic process improvement,10/22/2020,1
89,89,89,Synchronised bandwidth-monitored budgetary management,10/20/2020,1
90,90,90,Grass-roots foreground ability,10/20/2020,1
91,91,91,Inverse 6th generation access,10/21/2020,1
92,92,92,Reactive intangible solution,10/22/2020,0
93,93,93,Optional next generation knowledge base,10/21/2020,1
94,94,94,Right-sized upward-trending Graphic Interface,10/21/2020,0
95,95,95,Multi-channelled tertiary time-frame,10/21/2020,0
96,96,96,Distributed 24/7 circuit,10/21/2020,0
97,97,97,Self-enabling bandwidth-monitored secured line,10/22/2020,0
98,98,98,Devolved multi-tasking strategy,10/20/2020,0
99,99,99,Distributed discrete knowledge base,10/20/2020,1
100,100,100,De-engineered bandwidth-monitored strategy,10/21/2020,0
